NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,6,4,3,0,28,15,14,4,0,0,10,7,16,0,9,16,10,8,0,0,6,3,3,0,0,0,0,3,6,11,0,16,10,0,4,0,3,4,0,0,7
SK0,Slovensko,Slovensko,16,17,15,6,39,15,17,16,9,0,21,3,18,11,17,23,9,16,6,5,13,16,15,8,10,14,8,3,11,15,8,18,5,3,3,12,8,9,8,0,7
DE3,Berlin,Berlin,11,6,3,0,30,19,17,4,0,0,6,0,14,15,0,16,8,16,3,0,0,16,14,0,3,3,0,0,0,25,3,16,6,3,4,3,0,3,0,0,6
SI0,Slovenija,Slovenija,14,8,11,7,35,16,15,13,3,3,18,0,19,12,6,15,8,14,14,0,3,6,17,3,7,10,4,3,12,8,6,19,4,3,1,7,7,5,0,3,4
UKL,Wales,Wales,21,9,7,6,31,23,21,3,3,3,16,13,12,6,8,14,3,4,0,6,9,4,7,3,5,0,3,8,6,36,8,13,11,0,3,4,3,7,7,0,6
BE3,Région wallonne,Région wallonne,13,6,9,0,30,21,20,6,0,0,10,15,15,7,9,17,14,11,3,0,9,8,9,3,11,0,3,6,6,22,3,16,12,0,8,7,8,4,3,0,7
FRD,Normandie,Normandie,7,6,13,3,30,20,25,6,4,3,14,13,18,4,7,15,10,11,3,3,6,0,10,3,10,0,4,7,7,23,0,13,12,0,4,6,5,4,0,0,6
HR0,Hrvatska,Hrvatska,26,12,15,5,38,10,15,15,10,3,25,1,28,13,16,18,8,12,13,4,14,14,18,5,13,10,12,3,17,8,7,19,6,7,1,10,16,7,3,3,4
PL5,Makroregion południowo-zachodni,Makroregion południowo-zachodni,11,7,12,3,37,21,19,7,3,0,18,0,16,13,10,21,9,18,3,0,4,16,12,3,3,9,5,0,8,26,6,22,6,0,4,7,5,6,4,0,5
EL4,"Nisia Aigaiou, Kriti","Νησιά Αιγαίου, Κρήτη",12,10,13,0,17,6,15,15,15,6,29,19,10,12,19,11,7,0,3,7,14,12,17,9,22,16,0,9,7,9,13,13,13,2,8,13,8,0,4,0,7
MK0,Severna Makedonija,Северна Македонија,26,0,16,4,23,13,6,22,9,9,21,8,14,4,16,7,8,12,7,10,22,7,4,9,16,17,3,0,9,12,11,19,4,7,8,10,13,4,5,0,8
DEB,Rheinland-Pfalz,Rheinland-Pfalz,12,13,7,0,46,22,23,8,0,3,11,6,15,5,11,18,22,11,3,0,5,10,13,4,9,4,3,0,10,29,3,22,12,0,7,9,10,4,4,0,6
FRL,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,16,10,12,7,23,14,13,4,4,11,14,8,7,5,6,9,6,8,17,6,7,0,14,4,19,3,7,4,7,19,4,22,12,3,8,9,8,3,6,7,6
SE1,Östra Sverige,Östra Sverige,22,14,3,8,39,23,22,15,8,0,3,9,4,19,17,13,10,15,8,3,14,21,12,6,3,8,0,0,4,49,9,17,6,4,0,15,0,6,9,0,8
