NUTS_ID,NAME_LATN,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DE4,Brandenburg,Brandenburg,31,18,0,0,9,24,28,18,12,0,8,0,0,15,0,3,22,6,15,19,6,11,12,13,0,13,7,8,3,0,3,0,5,17,0,5,0,0,0,0,11,13,0,10,5,0,23,18,7,0,6,7,0,7,0,12,7,0,25,12,14,3,13,4,11,6,22,28,10,0,4,9,12,3,0,3,14,14,14,0,3,5,22,7,22,13,4,11,5,14,7,0,5,0,22
UKG,West Midlands (England),West Midlands (England),21,8,0,7,6,9,11,5,9,12,3,5,0,16,9,7,12,6,3,8,7,15,4,3,0,0,4,0,0,3,3,0,7,11,0,6,0,0,0,0,4,3,0,3,0,0,10,13,3,0,8,3,0,13,3,7,3,0,25,0,17,4,4,5,4,0,12,13,0,7,0,0,8,6,10,6,0,7,0,3,0,7,4,6,8,3,0,0,7,3,3,7,11,10,6
ITF,Sud,Sud,10,33,14,11,10,24,17,27,17,23,13,4,17,6,0,9,13,6,21,26,30,12,9,7,3,6,8,9,7,6,18,7,9,5,0,6,0,9,7,6,10,17,10,11,9,17,0,17,7,3,17,26,6,3,9,15,24,7,10,18,6,5,5,5,8,10,13,19,8,3,9,7,3,8,4,9,4,12,11,25,10,10,11,16,8,13,12,21,18,6,10,3,18,11,15
CH0,Schweiz/Suisse/Svizzera,Schweiz/Suisse/Svizzera,26,19,17,9,8,29,37,24,13,19,13,10,10,17,4,17,15,11,13,15,19,21,6,7,4,15,8,8,6,8,14,4,13,27,4,14,3,8,3,7,9,11,12,10,18,9,10,38,7,7,16,12,10,4,12,18,14,7,25,13,7,6,3,4,15,13,18,20,9,9,17,8,15,6,7,13,5,11,7,23,16,13,27,7,16,10,3,15,9,10,4,11,14,11,13
FR1,Ile-de-France,Ile-de-France,24,15,7,8,3,23,9,23,7,10,17,6,0,13,3,7,3,6,5,11,14,16,4,7,4,10,6,3,0,0,7,0,3,13,0,12,0,0,3,9,11,3,0,3,3,0,15,20,3,10,8,0,0,10,7,8,13,0,22,0,7,3,4,3,6,0,13,17,0,4,3,0,16,5,3,6,0,8,3,7,4,3,11,3,7,6,4,8,6,7,6,0,13,0,8
RO3,Macroregiunea Trei,Macroregiunea Trei,12,11,28,14,15,28,15,23,3,11,9,0,9,10,3,5,14,8,25,19,20,9,6,3,14,0,7,3,3,14,30,7,6,12,0,7,4,7,6,3,10,40,5,7,7,10,0,15,33,8,0,20,4,7,11,24,3,11,16,20,5,3,11,3,3,6,21,26,14,0,6,5,8,3,3,9,5,4,6,20,5,20,29,14,10,7,3,17,7,7,17,6,12,7,8
UKN,Northern Ireland,Northern Ireland,17,5,4,12,6,6,8,0,8,15,0,8,0,10,9,3,7,4,3,3,4,13,7,3,0,3,3,0,0,0,6,0,3,6,0,15,0,7,0,0,0,6,0,0,0,0,6,10,0,0,4,0,4,11,3,5,0,0,16,3,8,9,4,8,4,0,0,4,6,3,0,0,4,12,5,3,0,10,3,0,3,11,4,6,7,3,0,0,0,7,0,5,8,3,6
DEG,Thüringen,Thüringen,24,9,3,6,8,31,27,37,7,7,6,3,0,19,6,3,15,10,14,23,13,14,10,7,0,9,15,3,0,0,9,0,11,23,0,6,3,3,4,3,7,12,0,6,8,7,19,19,6,0,3,6,3,4,0,10,6,4,25,8,11,6,12,0,14,4,24,29,4,3,4,8,13,0,0,0,3,11,12,0,3,7,22,7,18,9,0,7,9,13,5,3,9,4,20
AT1,Ostösterreich,Ostösterreich,23,25,4,9,5,29,28,25,13,9,5,3,6,17,0,5,12,7,23,19,15,15,8,9,7,13,8,10,3,7,19,3,7,19,0,7,3,4,6,0,13,31,3,4,7,7,10,22,10,3,9,12,0,0,5,12,9,6,26,4,9,6,8,3,9,7,13,24,10,0,11,3,7,3,0,4,10,15,13,6,5,13,41,7,11,9,4,11,6,14,8,3,17,8,15
HU3,Alföld és Észak,Alföld és Észak,20,20,14,9,10,26,35,20,3,10,7,0,11,9,0,3,18,8,20,26,26,15,13,8,10,4,8,8,4,8,24,11,7,18,3,9,3,0,3,3,7,38,5,8,5,15,10,20,9,0,5,26,6,4,10,23,18,17,10,11,5,0,7,3,9,7,21,32,11,3,9,9,6,0,0,3,7,13,3,17,5,14,25,9,10,3,3,10,14,15,14,0,3,3,6
