NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Pays de la Loire,FRG,Pays de la Loire,3,6,7,11,0,6,7,15,3,21,23,8,7,6,14,0,33,11,7,3,0,4,12,26,3,9,6,12,7,13,7,3,16,8,6,16,16,25,18,3,10,18,20,22,14,24,10,11,0,31,11,12,13,13,18,13,32,33,20,35,5,9,20,40,14,29,9,30,24,42,9,12,15,11,20,20,10,53,3,35,45,0,48,16,8,15,47,10,42,11,51,31,21,25,18
South East (England),UKJ,South East (England),0,0,8,3,4,6,7,17,3,11,19,4,0,8,3,0,14,8,4,7,3,3,12,22,0,6,0,4,8,7,3,3,11,3,4,9,12,14,6,3,8,17,20,19,6,18,3,9,0,13,7,8,6,7,17,9,27,21,24,29,11,6,5,24,14,18,7,33,21,27,4,9,0,10,11,3,8,46,7,23,26,18,26,29,4,3,33,17,35,12,35,22,21,22,19
Zuid-Nederland,NL4,Zuid-Nederland,3,0,0,0,0,11,0,15,4,4,19,0,0,6,0,0,15,0,4,11,0,3,14,17,3,3,3,5,3,4,4,4,12,3,3,11,16,8,3,0,0,13,24,27,6,12,4,5,0,17,7,11,7,7,23,13,29,26,31,21,3,7,10,14,10,9,0,17,18,13,0,4,0,4,14,4,4,39,7,17,26,7,17,23,0,3,23,12,17,7,24,22,19,23,16
Brandenburg,DE4,Brandenburg,4,3,0,3,0,11,4,10,6,4,20,0,0,3,3,0,12,3,0,12,3,7,12,11,9,14,6,0,4,0,16,5,17,21,0,17,17,12,5,3,4,12,17,23,12,15,10,12,4,3,8,10,9,10,26,14,38,34,35,13,7,22,11,13,9,11,3,8,11,6,11,4,4,20,15,0,0,42,13,17,46,4,10,31,9,3,19,7,22,13,15,20,29,26,18
West Midlands (England),UKG,West Midlands (England),0,0,7,5,3,10,7,16,0,9,17,0,0,5,3,0,11,8,7,12,3,0,13,14,0,6,0,4,4,0,8,0,11,3,4,6,13,9,6,0,0,12,21,14,0,14,3,7,0,10,0,12,8,3,11,6,26,12,29,19,6,7,12,11,13,14,6,34,14,20,3,6,4,11,13,7,7,37,9,19,22,19,27,16,5,0,30,12,20,3,29,18,21,11,19
Sud,ITF,Sud,10,15,10,4,3,55,25,8,19,36,39,9,18,14,12,25,22,16,16,38,11,20,41,41,43,48,8,32,41,10,31,47,36,49,37,38,74,24,69,26,45,49,37,32,63,39,34,27,35,90,33,55,82,78,86,52,78,75,36,51,28,27,41,72,28,74,11,37,70,53,51,66,20,25,57,61,29,81,52,71,87,62,88,87,80,70,81,91,62,43,79,72,77,88,87
Schweiz/Suisse/Svizzera,CH0,Schweiz/Suisse/Svizzera,8,34,12,5,0,22,22,7,24,14,39,10,21,10,15,16,32,12,20,21,9,22,23,37,22,23,6,30,26,13,52,21,42,65,34,24,56,24,33,16,41,57,46,19,57,33,28,51,34,51,31,48,43,36,52,39,52,78,45,43,36,61,29,61,17,45,21,34,62,46,48,59,35,71,49,54,10,68,48,63,77,63,49,76,69,66,67,63,55,42,65,63,58,51,59
Ile-de-France,FR1,Ile-de-France,0,0,4,0,0,9,10,13,3,15,22,0,6,5,8,3,24,4,6,3,0,4,13,27,3,9,0,8,7,10,4,0,17,10,3,15,18,15,0,3,6,17,21,16,4,12,9,15,0,29,8,12,9,6,30,8,32,32,20,26,3,7,19,21,7,18,6,19,24,36,4,11,3,11,9,11,4,46,4,34,39,3,16,25,10,7,44,20,38,15,38,26,24,25,17
Macroregiunea Trei,RO3,Macroregiunea Trei,17,10,14,14,0,23,17,0,12,6,15,5,15,7,13,13,9,8,7,26,23,9,9,19,27,16,0,34,9,7,49,28,27,33,53,25,19,16,22,18,33,18,17,18,44,20,35,34,33,44,30,18,32,34,35,48,57,59,27,16,39,44,6,37,18,39,15,19,48,16,31,38,23,24,39,55,22,12,31,40,56,29,10,58,34,39,42,36,41,47,27,40,56,38,47
Northern Ireland,UKN,Northern Ireland,0,0,13,6,6,10,9,12,9,7,13,6,0,12,6,0,3,7,3,6,4,0,16,9,0,3,0,8,6,4,12,4,10,0,8,5,17,9,3,8,8,7,26,18,6,15,6,13,0,15,4,4,10,7,6,12,6,3,31,12,6,10,8,19,11,16,5,10,8,22,6,10,8,6,29,5,3,38,18,16,11,29,9,17,8,11,22,13,17,12,23,12,24,7,24
Thüringen,DEG,Thüringen,4,3,0,0,0,15,5,7,3,6,15,0,0,4,0,0,18,0,3,11,6,7,9,15,7,11,3,6,6,0,13,5,12,18,3,14,19,15,5,4,3,17,24,17,13,17,11,8,4,13,12,10,11,14,30,10,39,34,33,24,6,19,18,19,5,13,4,8,11,6,13,9,4,19,12,5,0,45,12,22,55,9,10,34,9,14,29,26,21,16,22,25,23,28,20
Ostösterreich,AT1,Ostösterreich,13,9,3,3,0,20,17,4,12,0,15,8,8,6,9,3,24,3,10,23,7,13,6,24,12,10,3,14,9,0,22,7,19,39,7,23,24,18,10,9,25,38,31,12,35,15,20,19,10,39,11,7,25,28,30,9,41,46,28,25,16,24,10,36,7,34,4,10,25,12,19,24,0,24,23,14,0,33,28,28,60,11,11,32,13,16,31,20,22,31,34,39,44,31,27
Alföld és Észak,HU3,Alföld és Észak,14,11,4,11,4,21,21,0,18,10,18,7,7,8,11,3,21,5,6,27,15,13,5,28,15,26,3,15,3,0,29,10,27,27,11,38,20,14,18,18,32,35,25,5,33,10,24,22,19,38,16,14,28,39,38,25,48,52,29,23,27,37,10,31,11,34,3,11,38,10,26,28,6,19,29,25,4,21,25,28,62,15,12,51,14,23,29,20,34,29,28,50,55,36,41
Česko,CZ0,Česko,11,13,6,3,0,16,8,5,10,3,21,3,8,6,5,0,20,4,6,19,9,11,9,21,9,18,7,15,7,0,22,7,18,26,3,22,24,16,10,5,15,22,32,19,29,18,17,18,14,20,11,11,22,32,29,16,42,43,32,23,18,26,17,30,9,23,5,10,22,6,20,18,7,27,22,10,3,36,23,28,57,10,11,36,14,13,31,18,26,19,28,32,44,23,26
Nouvelle-Aquitaine,FRI,Nouvelle-Aquitaine,3,12,7,17,0,8,17,14,4,24,22,6,13,6,14,7,33,11,10,3,3,5,16,31,8,10,4,17,15,10,7,3,24,17,12,17,19,27,24,3,12,26,21,14,14,23,19,14,5,39,11,8,18,8,28,11,28,35,18,38,4,9,20,46,12,20,10,33,20,45,17,21,13,13,20,23,16,46,14,38,57,6,28,27,13,16,54,16,42,20,52,30,27,27,17
Bretagne,FRH,Bretagne,3,6,11,7,0,6,6,21,4,20,26,9,6,4,12,0,18,7,6,7,0,0,21,19,3,9,3,16,7,14,4,3,19,3,6,11,18,32,7,3,8,10,36,27,12,29,4,14,0,27,7,20,9,9,35,10,43,27,20,46,5,8,19,56,24,44,9,58,54,51,12,8,20,22,30,18,35,59,10,31,34,7,70,32,12,17,35,22,40,11,52,46,19,42,23
Continente,PT1,Continente,12,11,11,21,7,0,12,19,12,37,24,7,20,15,15,7,18,16,14,10,12,13,5,23,20,12,11,18,16,13,18,14,24,25,19,18,26,25,26,13,30,29,26,34,14,29,34,25,17,27,19,14,33,27,26,23,27,30,20,37,22,21,38,36,35,34,30,46,32,70,41,33,38,26,24,39,46,36,34,43,42,14,68,27,25,43,32,32,33,35,59,30,30,24,17
Közép-Magyarország,HU1,Közép-Magyarország,12,9,3,4,0,17,11,0,14,5,18,6,3,0,8,3,16,3,3,22,14,14,3,23,13,11,0,15,3,0,28,9,22,26,6,34,19,16,12,14,33,34,26,5,30,11,22,19,15,38,14,11,26,35,35,18,42,48,24,22,21,34,11,27,9,30,3,4,30,7,24,20,5,18,18,18,5,19,23,26,60,12,16,47,9,19,25,19,31,20,18,43,48,33,34
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,0,0,0,0,8,0,10,0,3,12,0,0,5,0,0,9,0,4,5,0,3,5,15,0,3,0,3,3,0,3,0,11,0,3,5,10,9,0,0,0,13,21,5,0,9,4,3,0,3,7,8,0,4,21,8,29,24,19,13,3,9,10,11,3,10,0,10,15,15,3,4,0,4,6,4,0,34,3,18,31,0,8,18,3,0,25,4,17,7,24,15,9,22,20
Slovensko,SK0,Slovensko,16,12,4,15,0,21,14,4,13,6,19,6,4,5,8,3,24,3,5,26,12,17,4,25,14,24,3,15,11,0,25,9,19,22,7,38,24,17,17,19,25,34,33,9,29,18,24,20,18,34,16,15,25,39,37,25,49,50,35,21,29,38,12,30,14,34,6,11,33,7,26,19,6,26,33,16,5,31,26,29,61,12,13,45,16,11,29,15,33,22,25,43,53,25,39
Berlin,DE3,Berlin,0,0,0,0,0,4,4,12,3,3,12,0,0,3,0,0,4,0,0,6,3,3,11,5,3,13,0,0,3,0,7,5,13,10,0,14,11,9,4,0,3,5,15,15,4,11,8,8,0,0,8,9,8,3,20,8,35,30,25,9,3,18,5,7,3,9,0,3,8,4,5,4,4,13,10,0,0,31,9,11,35,4,0,27,3,3,16,0,15,11,11,17,23,19,12
Slovenija,SI0,Slovenija,13,10,3,0,0,23,26,5,14,12,30,9,15,8,10,16,25,9,16,28,9,17,14,22,20,12,3,22,18,7,23,9,35,49,18,28,29,23,30,20,30,56,30,8,39,21,27,24,20,45,28,11,36,41,42,26,49,54,49,32,19,28,13,45,3,41,8,21,32,21,30,46,3,23,39,39,3,42,47,41,69,20,23,47,37,32,50,26,37,34,50,44,42,42,38
Wales,UKL,Wales,3,0,8,5,4,6,6,21,0,11,12,6,0,9,4,3,7,3,4,11,0,3,18,17,0,4,0,8,6,3,8,3,9,3,4,7,12,9,4,4,5,7,32,20,4,15,4,14,0,10,3,10,14,6,12,9,23,12,26,17,6,5,11,14,13,25,6,32,24,32,3,9,4,12,25,8,13,48,21,16,15,31,24,29,6,0,24,17,32,9,29,22,29,18,33
Région wallonne,BE3,Région wallonne,3,0,4,3,0,11,5,17,3,6,19,0,0,6,3,0,17,5,4,14,3,6,13,23,3,7,3,9,10,3,7,0,15,6,3,13,19,9,4,0,3,20,26,15,6,12,7,3,0,24,12,11,5,11,31,10,33,32,31,29,3,10,16,24,11,13,3,18,19,17,8,10,4,12,12,8,3,46,11,30,35,8,14,31,11,7,33,19,25,14,29,22,18,30,21
Normandie,FRD,Normandie,7,0,15,3,4,12,6,23,3,12,20,0,3,6,7,0,20,9,6,4,4,4,19,21,3,10,4,7,8,10,6,0,15,9,4,16,18,16,6,4,5,15,55,21,10,18,9,20,3,29,8,25,10,10,46,13,57,27,44,50,6,11,16,40,27,45,16,59,56,52,13,9,9,26,30,13,19,73,29,38,41,19,81,35,21,15,41,42,53,14,56,62,31,58,39
Hrvatska,HR0,Hrvatska,12,10,6,3,0,53,27,11,20,18,46,8,14,3,18,25,22,12,16,33,15,20,37,34,49,44,9,30,37,11,49,72,37,54,24,50,79,32,79,34,48,57,33,32,61,32,31,25,45,92,36,50,87,90,87,58,79,77,45,65,39,51,44,67,36,84,42,24,69,41,44,71,11,35,61,65,43,86,73,82,86,75,88,91,82,75,87,90,66,39,59,76,82,84,89
Makroregion południowo-zachodni,PL5,Makroregion południowo-zachodni,7,13,6,3,0,19,6,6,10,5,14,0,3,6,4,0,10,3,0,18,9,7,5,14,7,12,3,11,4,0,13,6,14,16,0,15,19,15,8,4,7,12,29,14,23,12,11,14,9,4,10,10,21,22,29,16,41,31,33,13,13,26,7,10,10,16,4,11,13,0,16,9,4,29,20,4,3,30,20,21,53,3,14,30,13,4,20,10,22,18,20,24,43,17,22
"Nisia Aigaiou, Kriti",EL4,"Νησιά Αιγαίου, Κρήτη",13,14,6,15,16,23,18,35,37,12,52,9,16,10,18,24,6,17,59,66,43,15,49,59,30,30,20,40,36,42,78,63,50,61,42,60,63,37,78,49,49,66,51,39,69,42,67,51,87,82,77,51,90,64,87,66,88,84,77,66,91,89,33,92,59,81,84,21,79,67,58,84,67,64,88,85,78,68,82,92,81,92,84,85,91,64,90,84,67,82,82,90,77,84,81
Severna Makedonija,MK0,Северна Македонија,12,9,8,10,0,17,21,0,27,0,22,9,13,7,14,19,6,10,8,31,21,15,8,21,29,18,3,22,14,12,49,26,23,26,40,16,27,17,28,23,43,29,23,0,48,19,38,24,43,50,41,14,45,32,33,37,47,65,29,27,33,35,3,46,17,46,11,19,46,31,38,51,25,31,58,62,16,22,33,38,65,46,16,50,55,33,37,39,37,51,45,30,54,36,47
Rheinland-Pfalz,DEB,Rheinland-Pfalz,3,4,3,3,0,16,4,10,3,7,23,0,0,6,3,6,20,4,4,13,3,3,12,18,4,9,3,16,10,4,11,5,15,15,0,16,16,13,6,3,7,30,27,19,10,17,10,4,0,23,8,12,8,19,35,13,40,34,33,29,3,11,15,29,10,12,3,17,15,16,13,9,3,10,12,5,3,51,12,26,48,11,10,34,12,16,34,23,22,15,31,21,19,35,18
Provence-Alpes-Côte d’Azur,FRL,Provence-Alpes-Côte d’Azur,4,18,7,5,0,17,30,9,11,20,41,8,21,11,13,27,28,26,21,23,17,23,25,35,30,19,14,42,45,14,20,15,55,66,40,24,36,35,44,24,39,60,48,19,57,43,32,57,43,81,41,36,61,34,51,38,57,82,43,55,42,38,40,76,15,53,25,50,58,78,61,68,50,45,62,61,30,60,67,65,81,73,63,73,62,56,76,53,68,55,76,74,54,70,62
Östra Sverige,SE1,Östra Sverige,0,3,3,3,14,11,5,35,6,9,15,7,3,11,10,0,16,16,7,13,8,4,20,19,9,11,7,9,5,15,24,8,9,32,5,56,26,19,9,39,11,10,46,25,44,8,13,30,8,13,19,19,15,18,20,11,56,25,71,29,14,33,16,31,10,56,42,19,28,7,25,23,22,39,32,11,23,42,38,49,62,45,35,54,42,16,21,28,36,33,55,71,62,39,41
