NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bretagne,FRH,Bretagne,9,13,22,36,16,9,3,8,6,0,7,0,0,5,5,3,11,13,23,20,4,0,0,0,10,8,10,8,7,5,0,0,6,6,6,5,12,0,9,8,6,4,0,11,0,3,7,5,0,0,0,10,6,0,0,0,0,5,7,14,8,0,7,4,0,4,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Continente,PT1,Continente,15,16,17,29,9,3,3,3,3,3,4,4,6,4,3,0,7,6,19,0,0,3,0,0,3,4,3,3,0,14,3,7,10,0,7,6,7,3,0,3,10,6,5,14,5,0,4,0,4,0,0,3,3,0,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Közép-Magyarország,HU1,Közép-Magyarország,8,23,11,14,67,13,3,7,0,3,8,0,6,3,11,6,3,19,32,24,7,3,10,3,4,8,4,16,0,9,13,5,5,0,12,11,4,0,0,4,19,0,0,13,0,0,13,0,0,6,0,3,0,4,0,0,0,7,0,9,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,10,8,13,15,7,0,4,0,0,3,0,0,5,4,14,12,7,19,15,4,0,0,0,0,10,0,6,0,0,0,0,0,0,0,11,14,0,0,11,5,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,9,3,11,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Slovensko,SK0,Slovensko,20,28,14,20,57,19,7,14,3,6,7,0,7,4,12,17,13,21,35,34,9,11,15,9,7,11,6,13,3,10,17,7,5,6,17,13,11,8,9,5,29,3,0,15,4,3,10,4,3,7,0,3,0,5,3,0,0,10,3,19,3,6,0,0,0,6,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,DE3,Berlin,10,14,5,10,10,4,0,17,6,0,6,0,0,0,0,10,7,22,18,11,4,0,0,0,0,4,3,8,0,4,0,3,0,0,7,9,13,0,0,17,6,6,4,7,5,0,5,0,0,3,0,0,4,3,0,0,0,4,0,12,0,0,3,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenija,SI0,Slovenija,10,28,14,22,57,10,5,4,0,5,6,0,5,12,4,9,14,21,36,26,7,0,4,14,7,9,4,14,3,10,4,6,6,0,13,14,4,3,7,9,17,8,3,16,6,6,11,3,0,3,3,3,0,4,0,0,0,8,0,14,18,7,3,0,0,4,0,0,3,0,0,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wales,UKL,Wales,0,10,12,24,14,9,3,3,4,0,6,0,0,4,5,15,12,5,16,13,12,0,0,7,0,3,4,0,3,0,0,3,0,3,4,5,11,0,0,0,3,0,5,5,0,4,7,5,0,0,3,3,0,0,0,0,4,7,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Région wallonne,BE3,Région wallonne,11,15,9,18,21,8,3,6,0,0,6,0,0,6,5,14,16,8,28,26,5,0,0,0,4,11,3,9,4,4,0,0,6,0,0,16,16,3,3,13,5,3,7,12,0,3,5,4,0,0,4,7,0,0,3,0,0,11,5,20,7,0,4,4,0,3,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Normandie,FRD,Normandie,9,11,21,38,24,8,0,7,4,0,14,0,0,6,7,11,15,10,22,24,5,3,0,3,8,10,10,6,6,6,0,0,6,0,6,14,15,0,8,9,7,0,4,10,0,3,11,7,0,0,0,10,0,0,0,0,0,7,8,17,11,0,9,4,0,5,0,0,3,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hrvatska,HR0,Hrvatska,10,33,14,19,59,10,6,6,3,6,8,0,9,11,8,8,9,22,46,32,7,0,12,16,10,11,8,18,10,20,11,7,6,4,10,19,11,4,10,6,28,10,0,17,7,10,12,3,6,5,0,3,0,3,0,0,0,9,8,17,13,8,3,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,5,3,3,0,0,0,3,0,0,0,0,0,0,0,0
Makroregion południowo-zachodni,PL5,Makroregion południowo-zachodni,10,27,10,14,21,8,9,21,3,5,6,0,0,0,7,13,16,25,30,17,5,3,4,0,6,13,6,8,0,4,4,4,7,3,12,12,17,0,0,18,15,14,0,13,3,5,8,0,0,7,4,3,8,4,0,0,0,9,0,24,0,0,0,4,0,6,0,0,3,0,0,0,5,3,5,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
"Nisia Aigaiou, Kriti",EL4,"Νησιά Αιγαίου, Κρήτη",9,13,9,10,4,0,11,8,0,3,3,3,5,0,0,3,0,8,16,16,6,6,14,0,11,13,7,6,7,19,15,4,11,3,9,8,0,0,6,0,7,0,0,6,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severna Makedonija,MK0,Северна Македонија,28,32,19,16,21,9,6,12,0,4,6,0,6,11,8,10,3,17,37,21,9,4,11,9,10,18,14,4,9,32,22,4,15,5,13,22,10,0,10,0,19,4,0,19,12,8,16,7,4,4,0,0,0,3,0,0,0,4,10,16,4,13,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinland-Pfalz,DEB,Rheinland-Pfalz,13,28,8,21,19,7,7,8,3,0,8,0,4,3,4,12,22,21,30,27,7,0,0,3,9,13,4,13,4,7,3,3,5,0,6,23,14,0,0,13,13,7,6,12,0,6,6,3,0,3,0,3,0,0,0,0,0,12,4,21,4,0,3,4,0,10,0,0,3,0,3,0,5,3,4,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
Provence-Alpes-Côte d’Azur,FRL,Provence-Alpes-Côte d’Azur,10,31,14,25,16,7,6,5,3,3,10,7,7,4,3,4,13,7,35,15,3,3,4,14,10,5,10,11,4,20,7,3,8,3,10,10,6,0,4,3,7,3,6,17,0,6,8,4,4,0,0,4,0,3,4,0,0,6,0,9,5,0,12,0,0,6,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Östra Sverige,SE1,Östra Sverige,4,16,6,9,14,3,12,3,7,0,3,0,0,5,0,16,0,10,20,11,9,5,6,3,3,0,0,4,0,0,0,4,0,6,3,3,6,0,4,12,6,0,0,0,0,3,0,6,0,3,4,0,8,3,3,0,0,4,7,10,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Mecklenburg-Vorpommern,DE8,Mecklenburg-Vorpommern,12,10,9,15,15,5,0,15,10,0,6,0,0,6,3,11,14,21,23,13,7,0,0,0,0,0,3,11,0,4,0,7,0,0,0,13,14,3,0,19,10,4,4,6,6,4,4,0,0,6,6,0,5,3,0,0,0,9,0,12,0,0,0,4,0,7,0,0,3,0,0,0,3,3,5,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Södra Sverige,SE2,Södra Sverige,9,17,11,6,12,3,12,10,14,0,7,0,0,4,3,18,7,6,21,13,10,5,3,0,3,4,6,4,0,4,4,4,0,6,6,6,13,3,7,21,12,3,5,4,0,3,3,6,0,8,8,4,9,3,3,0,7,7,6,14,4,0,3,5,0,0,0,0,0,0,4,3,3,0,0,0,0,0,5,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0
Occitanie,FRJ,Occitanie,13,30,18,36,27,3,8,7,4,3,17,4,4,13,6,5,18,13,39,9,0,12,0,8,6,3,4,7,3,24,6,8,12,0,12,16,6,3,5,4,12,4,9,17,3,4,8,3,3,9,0,6,3,3,0,4,0,3,0,10,13,0,7,3,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Serbia - jug,RS2,Србија - југ,22,31,18,20,25,12,8,14,3,8,9,3,5,7,19,10,7,18,44,39,9,5,12,11,14,17,17,16,7,20,29,10,11,4,19,19,12,0,14,3,25,4,0,17,9,10,11,6,6,7,3,3,0,4,0,0,0,5,9,19,7,10,0,0,0,3,0,0,0,0,0,0,0,3,3,5,0,0,0,0,4,4,3,0,0,0,3,0,0,0,0,0,0,0,0
Norge,NO0,Norge,8,11,21,17,14,10,13,23,13,6,13,10,6,11,6,16,7,12,12,8,19,6,8,5,8,7,9,6,3,3,4,6,8,7,5,11,5,5,6,16,8,13,5,3,4,7,4,6,6,11,7,7,8,3,3,5,9,11,6,5,5,0,4,6,3,0,0,0,4,0,3,4,6,4,3,0,0,9,6,0,0,0,0,6,6,0,7,0,0,5,0,4,0,0,0
Macroregiunea Doi,RO2,Macroregiunea Doi,30,24,19,26,39,29,9,20,7,9,16,6,4,0,22,19,21,18,46,37,21,10,20,6,12,11,15,12,0,17,20,6,18,0,25,19,10,3,10,10,27,3,4,20,6,4,7,3,8,5,7,5,3,4,0,0,3,8,9,22,6,6,0,4,3,0,0,0,6,0,0,0,0,3,3,0,0,0,0,0,5,12,3,0,0,0,3,0,0,0,0,0,0,0,0
