NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FI2,Åland,Åland,0,0,0,0,0,3,0,3,3,0,3,7,0,4,0,5,12,0,5,0,3,22,14,6,0,3,0,4,6,12,11,0,5,20,4,3,0,26,18,16
DK0,Danmark,Danmark,0,12,3,0,0,0,0,7,5,0,3,14,0,13,4,3,27,0,4,0,3,19,8,8,3,20,7,10,7,7,0,3,4,12,4,13,0,32,15,17
PL8,Makroregion wschodni,Makroregion wschodni,3,4,0,0,0,7,0,0,0,0,3,10,0,17,0,3,4,4,10,9,7,7,5,0,4,14,10,0,3,14,12,20,12,11,19,13,12,15,24,14
RO4,Macroregiunea Patru,Macroregiunea Patru,3,0,0,3,3,0,10,7,0,4,4,9,3,12,0,5,0,10,4,15,8,10,11,3,6,8,20,6,3,10,16,36,14,3,28,11,20,4,24,3
ITG,Isole,Isole,3,13,16,0,3,0,14,9,0,0,0,0,8,14,0,3,11,13,20,11,4,4,48,3,7,15,21,5,3,8,6,18,8,8,24,7,31,10,20,12
BG3,Severna i Yugoiztochna Bulgaria,Северна и Югоизточна България,3,0,0,3,4,0,5,7,0,3,0,4,0,6,0,4,3,9,8,13,8,10,6,0,3,6,23,4,5,19,10,32,8,9,15,16,20,6,22,7
ES2,Noreste,Noreste,8,7,8,4,0,3,5,0,3,4,7,3,3,12,3,3,0,4,0,3,8,7,25,4,10,10,3,3,8,7,7,21,6,4,23,8,26,12,25,14
FRK,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,3,6,12,0,0,4,3,0,3,4,4,9,3,8,6,3,5,6,0,3,3,9,37,4,11,13,3,0,7,6,7,11,10,7,25,7,25,18,25,15
UKE,Yorkshire and the Humber,Yorkshire and the Humber,0,7,8,0,0,3,0,0,9,7,0,0,0,3,8,3,8,0,3,3,3,0,10,5,6,11,0,3,4,4,0,0,3,0,0,3,6,8,8,9
NL3,West-Nederland,West-Nederland,0,9,0,0,0,0,0,0,3,0,0,3,0,4,8,3,8,0,4,3,6,7,7,6,6,18,0,0,0,4,0,3,3,3,4,6,4,8,13,18
ES1,Noroeste,Noroeste,4,4,4,3,3,0,10,0,8,13,10,5,5,0,0,4,0,6,4,4,6,3,16,6,7,12,3,0,3,8,3,4,12,0,11,8,13,10,15,7
IE0,Ireland,Ireland,6,6,17,12,0,3,0,3,12,10,6,0,0,0,23,0,10,0,4,3,0,3,12,4,8,14,5,0,11,0,0,4,16,5,0,8,3,23,5,7
UKM,Scotland,Scotland,5,10,14,12,0,7,0,4,11,6,7,10,3,3,17,3,15,0,11,3,5,14,19,7,9,13,7,8,13,3,3,8,11,17,3,8,5,10,12,14
UKF,East Midlands (England),East Midlands (England),0,7,5,4,0,0,0,0,9,7,0,0,0,3,12,3,11,0,3,3,3,0,8,8,7,18,0,0,4,8,0,0,4,0,0,3,10,10,8,10
PL7,Makroregion centralny,Makroregion centralny,3,8,0,0,3,6,0,0,3,0,3,9,0,15,0,3,3,3,3,9,3,7,0,0,3,21,6,0,3,8,11,19,11,10,18,10,9,15,29,8
DEF,Schleswig-Holstein,Schleswig-Holstein,0,10,3,0,0,0,0,0,0,0,0,8,0,11,3,0,18,0,3,0,3,7,6,6,0,12,5,3,0,7,0,3,6,7,4,6,0,14,13,16
DE9,Niedersachsen,Niedersachsen,0,9,3,0,0,0,0,0,0,3,0,4,0,17,5,0,7,0,4,3,7,10,16,6,3,11,6,7,0,7,4,3,6,8,7,7,0,17,18,18
FRE,Hauts-de-France,Hauts-de-France,0,9,4,0,0,3,0,0,7,7,0,0,3,9,14,3,9,0,3,0,6,7,12,0,12,18,0,0,0,4,0,5,9,3,7,7,10,13,14,11
RS1,Serbia - sever,Србија - север,0,0,3,0,3,0,3,8,7,0,0,13,0,13,0,0,0,13,3,13,0,12,10,0,5,7,12,3,0,4,10,27,13,0,29,3,22,7,13,3
